,Statement Date,Intermeeting Date,Chair
0,2/2/00,3/23/00,Alan Greenspan
1,3/21/00,5/18/00,Alan Greenspan
2,5/16/00,6/29/00,Alan Greenspan
3,6/28/00,8/24/00,Alan Greenspan
4,8/22/00,10/5/00,Alan Greenspan
5,10/3/00,11/16/00,Alan Greenspan
6,11/15/00,12/21/00,Alan Greenspan
7,12/19/00,2/1/01,Alan Greenspan
8,1/31/01,3/22/01,Alan Greenspan
9,3/20/01,5/17/01,Alan Greenspan
10,5/15/01,6/28/01,Alan Greenspan
11,6/27/01,8/23/01,Alan Greenspan
12,8/21/01,10/4/01,Alan Greenspan
13,10/2/01,11/8/01,Alan Greenspan
14,11/6/01,12/13/01,Alan Greenspan
15,12/11/01,1/31/02,Alan Greenspan
16,1/30/02,3/21/02,Alan Greenspan
17,3/19/02,5/9/02,Alan Greenspan
18,5/7/02,6/27/02,Alan Greenspan
19,6/26/02,8/15/02,Alan Greenspan
20,8/13/02,9/26/02,Alan Greenspan
21,9/24/02,11/7/02,Alan Greenspan
22,11/6/02,12/12/02,Alan Greenspan
23,12/10/02,1/30/03,Alan Greenspan
24,1/29/03,3/20/03,Alan Greenspan
25,3/18/03,5/8/03,Alan Greenspan
26,5/6/03,6/26/03,Alan Greenspan
27,6/25/03,8/14/03,Alan Greenspan
28,8/12/03,9/18/03,Alan Greenspan
29,9/16/03,10/30/03,Alan Greenspan
30,10/28/03,12/11/03,Alan Greenspan
31,12/9/03,1/29/04,Alan Greenspan
32,1/28/04,3/18/04,Alan Greenspan
33,3/16/04,5/6/04,Alan Greenspan
34,5/4/04,6/1/04,Alan Greenspan
35,6/30/04,8/12/04,Alan Greenspan
36,8/10/04,9/23/04,Alan Greenspan
37,9/21/04,11/11/04,Alan Greenspan
38,11/10/04,12/16/04,Alan Greenspan
39,12/14/04,1/4/05,Alan Greenspan
40,2/2/05,2/23/05,Alan Greenspan
41,3/22/05,4/12/05,Alan Greenspan
42,5/3/05,5/24/05,Alan Greenspan
43,6/30/05,7/21/05,Alan Greenspan
44,8/9/05,8/30/05,Alan Greenspan
45,9/20/05,10/11/05,Alan Greenspan
46,11/1/05,11/22/05,Alan Greenspan
47,12/13/05,1/3/06,Alan Greenspan
48,1/31/06,2/21/06,Alan Greenspan
49,3/28/06,4/18/06,Ben Bernanke
50,5/10/06,5/31/06,Ben Bernanke
51,6/29/06,7/20/06,Ben Bernanke
52,8/8/06,8/29/06,Ben Bernanke
53,9/20/06,10/11/06,Ben Bernanke
54,10/25/06,11/15/06,Ben Bernanke
55,12/12/06,1/3/07,Ben Bernanke
56,1/31/07,2/21/07,Ben Bernanke
57,3/21/07,4/11/07,Ben Bernanke
58,5/9/07,5/30/07,Ben Bernanke
59,8/7/07,8/28/07,Ben Bernanke
60,9/18/07,10/9/07,Ben Bernanke
61,10/31/07,11/20/07,Ben Bernanke
62,12/11/07,1/2/08,Ben Bernanke
63,1/30/08,2/20/08,Ben Bernanke
64,3/18/08,4/8/08,Ben Bernanke
65,4/30/08,5/21/08,Ben Bernanke
66,8/5/08,8/26/08,Ben Bernanke
67,9/16/08,10/7/08,Ben Bernanke
68,10/29/08,11/19/08,Ben Bernanke
69,12/16/08,1/6/09,Ben Bernanke
70,1/28/09,2/18/09,Ben Bernanke
71,3/18/09,4/8/09,Ben Bernanke
72,4/29/09,5/20/09,Ben Bernanke
73,6/24/09,7/15/09,Ben Bernanke
74,8/12/09,9/2/09,Ben Bernanke
75,9/23/09,10/14/09,Ben Bernanke
76,11/4/09,11/24/09,Ben Bernanke
77,12/16/09,1/6/10,Ben Bernanke
78,1/27/10,2/17/10,Ben Bernanke
79,3/16/10,4/6/10,Ben Bernanke
80,4/28/10,5/19/10,Ben Bernanke
81,6/23/10,7/14/10,Ben Bernanke
82,8/10/10,8/31/10,Ben Bernanke
83,9/21/10,10/12/10,Ben Bernanke
84,11/3/10,11/23/10,Ben Bernanke
85,12/14/10,1/4/11,Ben Bernanke
86,1/26/11,2/16/11,Ben Bernanke
87,3/15/11,4/5/11,Ben Bernanke
88,4/27/11,5/18/11,Ben Bernanke
89,6/22/11,7/12/11,Ben Bernanke
90,8/9/11,8/30/11,Ben Bernanke
91,9/21/11,10/12/11,Ben Bernanke
92,11/2/11,11/22/11,Ben Bernanke
93,12/13/11,1/3/12,Ben Bernanke
94,1/25/12,2/15/12,Ben Bernanke
95,3/13/12,4/3/12,Ben Bernanke
96,4/25/12,5/16/12,Ben Bernanke
97,6/20/12,7/11/12,Ben Bernanke
98,8/1/12,8/22/12,Ben Bernanke
99,9/13/12,10/4/12,Ben Bernanke
100,10/24/12,11/14/12,Ben Bernanke
101,12/12/12,1/3/13,Ben Bernanke
102,1/30/13,2/20/13,Ben Bernanke
103,3/20/13,4/10/13,Ben Bernanke
104,5/1/13,5/22/13,Ben Bernanke
105,6/19/13,7/10/13,Ben Bernanke
106,7/31/13,8/21/13,Ben Bernanke
107,9/18/13,10/9/13,Ben Bernanke
108,10/30/13,11/20/13,Ben Bernanke
109,12/18/13,1/8/14,Ben Bernanke
110,1/29/14,2/19/14,Ben Bernanke
111,3/19/14,4/9/14,Janet Yellen
112,4/30/14,5/21/14,Janet Yellen
113,6/18/14,7/9/14,Janet Yellen
114,7/30/14,8/20/14,Janet Yellen
115,9/17/14,10/8/14,Janet Yellen
116,10/29/14,11/19/14,Janet Yellen
117,12/17/14,1/7/15,Janet Yellen
118,1/28/15,2/18/15,Janet Yellen
119,3/18/15,4/8/15,Janet Yellen
120,4/29/15,5/20/15,Janet Yellen
121,6/17/15,7/8/15,Janet Yellen
122,7/29/15,8/19/15,Janet Yellen
123,9/17/15,10/8/15,Janet Yellen
124,10/28/15,11/18/15,Janet Yellen
125,12/16/15,1/6/16,Janet Yellen
126,1/27/16,2/17/16,Janet Yellen
127,3/16/16,4/6/16,Janet Yellen
128,4/27/16,5/18/16,Janet Yellen
129,6/15/16,7/6/16,Janet Yellen
130,7/27/16,8/17/16,Janet Yellen
131,9/21/16,10/12/16,Janet Yellen
132,11/2/16,11/23/16,Janet Yellen
133,12/14/16,1/4/17,Janet Yellen
134,2/1/17,2/22/17,Janet Yellen
135,3/15/17,4/5/17,Janet Yellen
136,5/3/17,5/24/17,Janet Yellen
137,6/14/17,7/5/17,Janet Yellen
138,7/26/17,8/16/17,Janet Yellen
139,9/20/17,10/11/17,Janet Yellen
140,11/1/17,11/22/17,Janet Yellen
141,12/13/17,1/3/18,Janet Yellen
142,1/31/18,2/21/18,Janet Yellen
143,3/21/18,4/11/18,Jerome Powell
144,5/2/18,5/23/18,Jerome Powell
145,6/13/18,7/5/18,Jerome Powell
146,8/1/18,8/22/18,Jerome Powell
147,9/26/18,10/17/18,Jerome Powell
148,11/8/18,11/29/18,Jerome Powell
149,12/19/18,1/9/19,Jerome Powell
150,1/30/19,2/20/19,Jerome Powell
151,3/20/19,4/10/19,Jerome Powell
152,5/1/19,5/22/19,Jerome Powell
153,6/19/19,7/10/19,Jerome Powell
154,7/31/19,8/21/19,Jerome Powell
155,9/18/19,10/9/19,Jerome Powell
156,10/30/19,11/20/19,Jerome Powell
157,12/11/19,1/3/20,Jerome Powell
158,1/29/20,2/19/20,Jerome Powell
159,3/15/20,4/8/20,Jerome Powell
160,4/29/20,5/20/20,Jerome Powell
161,6/10/20,7/1/20,Jerome Powell
162,7/29/20,8/19/20,Jerome Powell
163,9/16/20,10/7/20,Jerome Powell
164,11/5/20,11/25/20,Jerome Powell
165,12/16/20,1/6/21,Jerome Powell
166,1/27/21,2/17/21,Jerome Powell
167,3/17/21,4/7/21,Jerome Powell
168,4/28/21,5/19/21,Jerome Powell
169,6/16/21,7/7/21,Jerome Powell
170,7/28/21,8/18/21,Jerome Powell
171,9/22/21,10/13/21,Jerome Powell
172,11/3/21,11/24/21,Jerome Powell
173,12/15/21,1/5/22,Jerome Powell
174,1/26/22,2/16/22,Jerome Powell
175,3/16/22,4/6/22,Jerome Powell
176,5/4/22,3/25/22,Jerome Powell
177,6/15/22,7/6/22,Jerome Powell
178,7/27/22,8/17/22,Jerome Powell
179,9/21/22,10/12/22,Jerome Powell
180,11/2/22,11/23/22,Jerome Powell
181,12/14/22,1/4/23,Jerome Powell
182,2/1/23,2/22/23,Jerome Powell
183,3/22/23,4/12/23,Jerome Powell
184,5/3/23,5/24/23,Jerome Powell
185,6/14/23,7/5/23,Jerome Powell
186,7/26/23,8/16/23,Jerome Powell
187,9/20/23,10/11/23,Jerome Powell
188,11/1/23,11/21/23,Jerome Powell
189,12/13/23,1/3/24,Jerome Powell
190,1/31/24,2/21/24,Jerome Powell
191,3/20/24,4/10/24,Jerome Powell
192,5/1/24,5/22/24,Jerome Powell
193,6/12/24,7/3/24,Jerome Powell
194,7/31/24,8/21/24,Jerome Powell
195,9/18/24,10/9/24,Jerome Powell
196,11/7/24,11/26/24,Jerome Powell
197,12/18/24,1/8/25,Jerome Powell
198,1/29/25,2/19/25,Jerome Powell
199,3/19/25,4/9/25,Jerome Powell
