Statement Date,Intermeeting Date,Chair
2/2/00,3/23/00,Alan Greenspan
3/21/00,5/18/00,Alan Greenspan
5/16/00,6/29/00,Alan Greenspan
6/28/00,8/24/00,Alan Greenspan
8/22/00,10/5/00,Alan Greenspan
10/3/00,11/16/00,Alan Greenspan
11/15/00,12/21/00,Alan Greenspan
12/19/00,2/1/01,Alan Greenspan
1/31/01,3/22/01,Alan Greenspan
3/20/01,5/17/01,Alan Greenspan
5/15/01,6/28/01,Alan Greenspan
6/27/01,8/23/01,Alan Greenspan
8/21/01,10/4/01,Alan Greenspan
10/2/01,11/8/01,Alan Greenspan
11/6/01,12/13/01,Alan Greenspan
12/11/01,1/31/02,Alan Greenspan
1/30/02,3/21/02,Alan Greenspan
3/19/02,5/9/02,Alan Greenspan
5/7/02,6/27/02,Alan Greenspan
6/26/02,8/15/02,Alan Greenspan
8/13/02,9/26/02,Alan Greenspan
9/24/02,11/7/02,Alan Greenspan
11/6/02,12/12/02,Alan Greenspan
12/10/02,1/30/03,Alan Greenspan
1/29/03,3/20/03,Alan Greenspan
3/18/03,5/8/03,Alan Greenspan
5/6/03,6/26/03,Alan Greenspan
6/25/03,8/14/03,Alan Greenspan
8/12/03,9/18/03,Alan Greenspan
9/16/03,10/30/03,Alan Greenspan
10/28/03,12/11/03,Alan Greenspan
12/9/03,1/29/04,Alan Greenspan
1/28/04,3/18/04,Alan Greenspan
3/16/04,5/6/04,Alan Greenspan
5/4/04,6/1/04,Alan Greenspan
6/30/04,8/12/04,Alan Greenspan
8/10/04,9/23/04,Alan Greenspan
9/21/04,11/11/04,Alan Greenspan
11/10/04,12/16/04,Alan Greenspan
12/14/04,1/4/05,Alan Greenspan
2/2/05,2/23/05,Alan Greenspan
3/22/05,4/12/05,Alan Greenspan
5/3/05,5/24/05,Alan Greenspan
6/30/05,7/21/05,Alan Greenspan
8/9/05,8/30/05,Alan Greenspan
9/20/05,10/11/05,Alan Greenspan
11/1/05,11/22/05,Alan Greenspan
12/13/05,1/3/06,Alan Greenspan
1/31/06,2/21/06,Alan Greenspan
3/28/06,4/18/06,Ben Bernanke
5/10/06,5/31/06,Ben Bernanke
6/29/06,7/20/06,Ben Bernanke
8/8/06,8/29/06,Ben Bernanke
9/20/06,10/11/06,Ben Bernanke
10/25/06,11/15/06,Ben Bernanke
12/12/06,1/3/07,Ben Bernanke
1/31/07,2/21/07,Ben Bernanke
3/21/07,4/11/07,Ben Bernanke
5/9/07,5/30/07,Ben Bernanke
6/18/07,7/19/07,Ben Bernanke
8/7/07,8/28/07,Ben Bernanke
9/18/07,10/9/07,Ben Bernanke
10/31/07,11/20/07,Ben Bernanke
12/11/07,1/2/08,Ben Bernanke
1/30/08,2/20/08,Ben Bernanke
3/18/08,4/8/08,Ben Bernanke
4/30/08,5/21/08,Ben Bernanke
6/25/08,7/16/08,Ben Bernanke
8/5/08,8/26/08,Ben Bernanke
9/16/08,10/7/08,Ben Bernanke
10/29/08,11/19/08,Ben Bernanke
12/16/08,1/6/09,Ben Bernanke
1/28/09,2/18/09,Ben Bernanke
3/18/09,4/8/09,Ben Bernanke
4/29/09,5/20/09,Ben Bernanke
6/24/09,7/15/09,Ben Bernanke
8/12/09,9/2/09,Ben Bernanke
9/23/09,10/14/09,Ben Bernanke
11/4/09,11/24/09,Ben Bernanke
12/16/09,1/6/10,Ben Bernanke
1/27/10,2/17/10,Ben Bernanke
3/16/10,4/6/10,Ben Bernanke
4/28/10,5/19/10,Ben Bernanke
6/23/10,7/14/10,Ben Bernanke
8/10/10,8/31/10,Ben Bernanke
9/21/10,10/12/10,Ben Bernanke
11/3/10,11/23/10,Ben Bernanke
12/14/10,1/4/11,Ben Bernanke
1/26/11,2/16/11,Ben Bernanke
3/15/11,4/5/11,Ben Bernanke
4/27/11,5/18/11,Ben Bernanke
6/22/11,7/12/11,Ben Bernanke
8/9/11,8/30/11,Ben Bernanke
9/21/11,10/12/11,Ben Bernanke
11/2/11,11/22/11,Ben Bernanke
12/13/11,1/3/12,Ben Bernanke
1/25/12,2/15/12,Ben Bernanke
3/13/12,4/3/12,Ben Bernanke
4/25/12,5/16/12,Ben Bernanke
6/20/12,7/11/12,Ben Bernanke
8/1/12,8/22/12,Ben Bernanke
9/13/12,10/4/12,Ben Bernanke
10/24/12,11/14/12,Ben Bernanke
12/12/12,1/3/13,Ben Bernanke
1/30/13,2/20/13,Ben Bernanke
3/20/13,4/10/13,Ben Bernanke
5/1/13,5/22/13,Ben Bernanke
6/19/13,7/10/13,Ben Bernanke
7/31/13,8/21/13,Ben Bernanke
9/18/13,10/9/13,Ben Bernanke
10/30/13,11/20/13,Ben Bernanke
12/18/13,1/8/14,Ben Bernanke
1/29/14,2/19/14,Ben Bernanke
3/19/14,4/9/14,Janet Yellen
4/30/14,5/21/14,Janet Yellen
6/18/14,7/9/14,Janet Yellen
7/30/14,8/20/14,Janet Yellen
9/17/14,10/8/14,Janet Yellen
10/29/14,11/19/14,Janet Yellen
12/17/14,1/7/15,Janet Yellen
1/28/15,2/18/15,Janet Yellen
3/18/15,4/8/15,Janet Yellen
4/29/15,5/20/15,Janet Yellen
6/17/15,7/8/15,Janet Yellen
7/29/15,8/19/15,Janet Yellen
9/17/15,10/8/15,Janet Yellen
10/28/15,11/18/15,Janet Yellen
12/16/15,1/6/16,Janet Yellen
1/27/16,2/17/16,Janet Yellen
3/16/16,4/6/16,Janet Yellen
4/27/16,5/18/16,Janet Yellen
6/15/16,7/6/16,Janet Yellen
7/27/16,8/17/16,Janet Yellen
9/21/16,10/12/16,Janet Yellen
11/2/16,11/23/16,Janet Yellen
12/14/16,1/4/17,Janet Yellen
2/1/17,2/22/17,Janet Yellen
3/15/17,4/5/17,Janet Yellen
5/3/17,5/24/17,Janet Yellen
6/14/17,7/5/17,Janet Yellen
7/26/17,8/16/17,Janet Yellen
9/20/17,10/11/17,Janet Yellen
11/1/17,11/22/17,Janet Yellen
12/13/17,1/3/18,Janet Yellen
1/31/18,2/21/18,Janet Yellen
3/21/18,4/11/18,Jerome Powell
5/2/18,5/23/18,Jerome Powell
6/13/18,7/5/18,Jerome Powell
8/1/18,8/22/18,Jerome Powell
9/26/18,10/17/18,Jerome Powell
11/8/18,11/29/18,Jerome Powell
12/19/18,1/9/19,Jerome Powell
1/30/19,2/20/19,Jerome Powell
3/20/19,4/10/19,Jerome Powell
5/1/19,5/22/19,Jerome Powell
6/19/19,7/10/19,Jerome Powell
7/31/19,8/21/19,Jerome Powell
9/18/19,10/9/19,Jerome Powell
10/30/19,11/20/19,Jerome Powell
12/11/19,1/3/20,Jerome Powell
1/29/20,2/19/20,Jerome Powell
3/3/20,4/8/20,Jerome Powell
3/15/20,4/8/20,Jerome Powell
3/23/20,4/8/20,Jerome Powell
3/31/20,4/8/20,Jerome Powell
4/29/20,5/20/20,Jerome Powell
6/10/20,7/1/20,Jerome Powell
7/29/20,8/19/20,Jerome Powell
8/27/20,,Jerome Powell
9/16/20,10/7/20,Jerome Powell
11/5/20,11/25/20,Jerome Powell
12/16/20,1/6/21,Jerome Powell
1/27/21,2/17/21,Jerome Powell
3/17/21,4/7/21,Jerome Powell
4/28/21,5/19/21,Jerome Powell
6/16/21,7/7/21,Jerome Powell
7/28/21,8/18/21,Jerome Powell
9/22/21,10/13/21,Jerome Powell
11/3/21,11/24/21,Jerome Powell
12/15/21,1/5/22,Jerome Powell
1/26/22,2/16/22,Jerome Powell
3/16/22,4/6/22,Jerome Powell
5/4/22,3/25/22,Jerome Powell
6/15/22,7/6/22,Jerome Powell
7/27/22,8/17/22,Jerome Powell
9/21/22,10/12/22,Jerome Powell
11/2/22,11/23/22,Jerome Powell
12/14/22,1/4/23,Jerome Powell
2/1/23,2/22/23,Jerome Powell
3/22/23,4/12/23,Jerome Powell
5/3/23,5/24/23,Jerome Powell
6/14/23,7/5/23,Jerome Powell
7/26/23,8/16/23,Jerome Powell
9/20/23,10/11/23,Jerome Powell
11/1/23,11/21/23,Jerome Powell
12/13/23,1/3/24,Jerome Powell
1/31/24,2/21/24,Jerome Powell
3/20/24,4/10/24,Jerome Powell
5/1/24,5/22/24,Jerome Powell
6/12/24,7/3/24,Jerome Powell
7/31/24,8/21/24,Jerome Powell
9/18/24,10/9/24,Jerome Powell
11/7/24,11/26/24,Jerome Powell
12/18/24,1/8/25,Jerome Powell
1/29/25,2/19/25,Jerome Powell
3/19/25,4/9/25,Jerome Powell